latitude; longitude; gravity; height; topo
53,80000;250,00000;981198,80717;663,00000;662,47494
53,60000;250,00000;981210,09783;528,00000;570,01534
53,40000;250,00000;981163,38988;635,00000;619,09429
53,20000;250,00000;981144,16586;649,00000;634,66604
53,00000;250,00000;981145,93658;611,00000;636,04401
52,80000;250,00000;981140,19080;579,00000;603,00020
52,60000;250,00000;981115,90892;612,00000;624,65940
52,40000;250,00000;981082,27168;680,00000;670,73525
52,20000;250,00000;981071,22487;667,00000;675,22059
52,00000;250,00000;981053,64296;701,00000;729,23354
51,80000;250,00000;981029,51401;704,00000;706,19001
51,60000;250,00000;981006,86469;704,00000;684,61367
51,40000;250,00000;980987,09729;712,00000;705,54092
51,20000;250,00000;980952,36487;770,00000;755,35300
51,00000;250,00000;980957,78511;642,00000;633,87997
50,80000;250,00000;980914,36679;710,00000;692,30931
50,60000;250,00000;980889,50401;748,00000;744,01443
50,40000;250,00000;980839,69866;806,00000;796,75015
50,20000;250,00000;980840,66175;768,00000;781,23901
50,00000;250,00000;980835,45269;733,00000;749,03616
49,80000;250,00000;980774,40211;948,00000;955,81297
49,60000;250,00000;980662,77257;1335,00000;1330,85576
49,40000;250,00000;980711,87726;1027,00000;1039,72417
49,20000;250,00000;980720,30678;931,00000;933,38559
49,00000;250,00000;980730,46388;851,00000;853,88174
48,80000;250,00000;980698,10852;861,00000;878,33599
48,60000;250,00000;980684,24299;815,00000;791,09250
48,40000;250,00000;980658,35856;820,00000;809,82252
48,20000;250,00000;980628,35756;874,00000;878,25694
48,00000;250,00000;980590,04648;977,00000;942,34426
47,80000;250,00000;980630,94643;799,00000;898,15756
47,60000;250,00000;980565,21134;968,00000;1004,81432
47,40000;250,00000;980517,10381;1083,00000;1083,61076
47,20000;250,00000;980466,90927;1160,00000;1164,88851
47,00000;250,00000;980411,46832;1306,00000;1309,15510
46,80000;250,00000;980342,17528;1561,00000;1560,56852
46,60000;250,00000;980317,09841;1542,00000;1534,81536
46,40000;250,00000;980306,20780;1472,00000;1405,31031
46,20000;250,00000;980269,05423;1568,00000;1624,91645
46,00000;250,00000;980238,61882;1504,00000;1515,52846
45,80000;250,00000;980246,65206;1349,00000;1343,20520
45,60000;250,00000;980123,06634;1911,00000;1846,94909
45,40000;250,00000;979978,93543;2602,00000;2513,19198
45,20000;250,00000;980002,88602;2322,00000;2575,32091
45,00000;250,00000;979996,33576;2344,00000;2726,21238
75,00000;250,20000;982811,35649;138,00000;150,70940
74,80000;250,20000;982823,84066;0,00000;-93,35098
74,60000;250,20000;982810,07490;0,00000;-253,33390
74,40000;250,20000;982797,95923;0,00000;-408,26695
74,20000;250,20000;982799,80085;0,00000;-508,18945
74,00000;250,20000;982797,05290;0,00000;-396,66394
73,80000;250,20000;982803,46259;0,00000;-105,88398
73,60000;250,20000;982778,86255;0,00000;-104,86451
73,40000;250,20000;982748,59641;0,00000;-144,70524
73,20000;250,20000;982721,21242;0,00000;-267,37466
73,00000;250,20000;982725,27147;0,00000;-126,82083
72,80000;250,20000;982657,81449;261,00000;191,89546
72,60000;250,20000;982669,72912;137,00000;113,89324
72,40000;250,20000;982671,85722;104,00000;113,01817
72,20000;250,20000;982621,83062;316,00000;308,36819
72,00000;250,20000;982605,82932;378,00000;391,49588
71,80000;250,20000;982602,55456;332,00000;352,20060
71,60000;250,20000;982588,11302;304,00000;299,19543
71,40000;250,20000;982594,74479;212,00000;226,28178
71,20000;250,20000;982580,98361;197,00000;199,57720
71,00000;250,20000;982549,82673;194,00000;208,48866
70,80000;250,20000;982544,13474;188,00000;194,23998
70,60000;250,20000;982541,76773;185,00000;197,57726
70,40000;250,20000;982526,20809;180,00000;143,20620
70,20000;250,20000;982533,64124;132,00000;137,07167
70,00000;250,20000;982539,56578;116,00000;109,90377
69,80000;250,20000;982526,22987;116,00000;120,74004
69,60000;250,20000;982506,24965;119,00000;111,06225
69,40000;250,20000;982489,72219;152,00000;151,29636
69,20000;250,20000;982487,64283;137,00000;126,06650
69,00000;250,20000;982474,39290;151,00000;127,27190
68,80000;250,20000;982471,25374;112,00000;118,49411
68,60000;250,20000;982474,78847;0,00000;-55,45312
68,40000;250,20000;982445,29905;0,00000;-234,05830
68,20000;250,20000;982429,43721;0,00000;-39,28526
68,00000;250,20000;982413,89563;0,00000;-253,23790
67,80000;250,20000;982365,05504;175,00000;116,10412
67,60000;250,20000;982349,49837;214,00000;219,34988
67,40000;250,20000;982323,62539;325,00000;316,04802
67,20000;250,20000;982316,36860;326,00000;309,93896
67,00000;250,20000;982280,98992;417,00000;387,78769
66,80000;250,20000;982300,52715;308,00000;333,29142
66,60000;250,20000;982284,87083;412,00000;410,76415
66,40000;250,20000;982281,50636;319,00000;333,86448
66,20000;250,20000;982214,44694;522,00000;518,35663
66,00000;250,20000;982175,47618;590,00000;590,27361
65,80000;250,20000;982166,27784;578,00000;578,83831
65,60000;250,20000;982168,03066;530,00000;527,71658
65,40000;250,20000;982171,76778;483,00000;494,78051
65,20000;250,20000;982165,19960;436,00000;437,02790
65,00000;250,20000;982138,84012;453,00000;448,60804
64,80000;250,20000;982115,48337;458,00000;460,57109
64,60000;250,20000;982102,51677;459,00000;458,49580
64,40000;250,20000;982101,66653;434,00000;436,48366
64,20000;250,20000;982092,15571;410,00000;409,78106
64,00000;250,20000;982071,77278;453,00000;461,51660
63,80000;250,20000;982065,48372;436,00000;422,68788
63,60000;250,20000;982056,10680;400,00000;433,40087
63,40000;250,20000;981981,02562;597,00000;537,93025
63,20000;250,20000;982016,59685;453,00000;495,19109
63,00000;250,20000;982050,35561;287,00000;314,04586
62,80000;250,20000;982057,87742;156,00000;214,74167
62,60000;250,20000;982003,08406;293,00000;201,19168
62,40000;250,20000;981993,46255;316,00000;326,30425
62,20000;250,20000;981970,41508;306,00000;309,17465
62,00000;250,20000;981924,25797;390,00000;368,02818
61,80000;250,20000;981916,53824;353,00000;346,39466
61,60000;250,20000;981895,84216;353,00000;347,20548
61,40000;250,20000;981879,98308;362,00000;372,01431
61,20000;250,20000;981870,51503;359,00000;354,97267
61,00000;250,20000;981858,33099;370,00000;363,16992
60,80000;250,20000;981840,88924;393,00000;387,55324
60,60000;250,20000;981825,62102;364,00000;357,03309
60,40000;250,20000;981828,24687;320,00000;316,33615
60,20000;250,20000;981811,34769;341,00000;371,96442
60,00000;250,20000;981796,71139;333,00000;349,84498
59,80000;250,20000;981779,01082;357,00000;369,13920
59,60000;250,20000;981773,72090;306,00000;310,57383
59,40000;250,20000;981773,87395;208,00000;204,92553
59,20000;250,20000;981759,38002;207,00000;209,13180
59,00000;250,20000;981731,24134;235,00000;232,40218
58,80000;250,20000;981705,15896;270,00000;268,12921
58,60000;250,20000;981687,13976;293,00000;297,83167
58,40000;250,20000;981664,54794;315,00000;308,87034
58,20000;250,20000;981639,79422;363,00000;354,44706
58,00000;250,20000;981617,62796;433,00000;455,77701
57,80000;250,20000;981579,78167;534,00000;508,45873
57,60000;250,20000;981555,99201;531,00000;538,54490
57,40000;250,20000;981520,12874;548,00000;542,00545
57,20000;250,20000;981502,69702;533,00000;530,41506
57,00000;250,20000;981480,64622;563,00000;564,70305
56,80000;250,20000;981475,55274;521,00000;504,69478
56,60000;250,20000;981465,56869;483,00000;497,68895
56,40000;250,20000;981445,14303;487,00000;485,53896
56,20000;250,20000;981419,54336;483,00000;478,71798
56,00000;250,20000;981396,17534;545,00000;518,82978
55,80000;250,20000;981392,30346;526,00000;535,60320
55,60000;250,20000;981353,75508;590,00000;582,58385
55,40000;250,20000;981317,85382;718,00000;712,91552
55,20000;250,20000;981324,85249;624,00000;622,09050
55,00000;250,20000;981316,84474;595,00000;596,62508
54,80000;250,20000;981306,31213;600,00000;609,09769
54,60000;250,20000;981293,43010;599,00000;587,23789
54,40000;250,20000;981283,69968;534,00000;545,87787
54,20000;250,20000;981254,47181;542,00000;546,89088
54,00000;250,20000;981220,34756;627,00000;632,07360
53,80000;250,20000;981195,91775;662,00000;674,37154
53,60000;250,20000;981194,92495;568,00000;549,14117
53,40000;250,20000;981170,93988;605,00000;590,53380
53,20000;250,20000;981155,34921;613,00000;618,90307
53,00000;250,20000;981167,22847;546,00000;619,53925
52,80000;250,20000;981133,18212;618,00000;623,27758
52,60000;250,20000;981110,15406;634,00000;655,18675
52,40000;250,20000;981080,38691;685,00000;673,11381
52,20000;250,20000;981052,87234;742,00000;728,31921
52,00000;250,20000;981042,82900;739,00000;741,77579
51,80000;250,20000;981024,30209;714,00000;722,60537
51,60000;250,20000;981015,52529;687,00000;705,30957
51,40000;250,20000;980984,54503;709,00000;696,75884
51,20000;250,20000;980971,91096;671,00000;690,86462
51,00000;250,20000;980938,39527;704,00000;681,49367
50,80000;250,20000;980918,64849;709,00000;731,80661
50,60000;250,20000;980884,59984;735,00000;737,68735
50,40000;250,20000;980863,51978;776,00000;775,81409
50,20000;250,20000;980855,84648;751,00000;762,84042
50,00000;250,20000;980811,83651;818,00000;798,42896
49,80000;250,20000;980788,23262;898,00000;922,36139
49,60000;250,20000;980657,31656;1297,00000;1220,91826
49,40000;250,20000;980704,41128;1016,00000;996,34159
49,20000;250,20000;980721,82704;926,00000;932,75853
49,00000;250,20000;980728,04820;866,00000;858,27227
48,80000;250,20000;980698,68686;862,00000;850,95490
48,60000;250,20000;980677,44825;838,00000;814,85291
48,40000;250,20000;980650,99369;900,00000;932,27221
48,20000;250,20000;980579,00651;1270,00000;1344,80058
48,00000;250,20000;980589,42191;1019,00000;1024,70401
47,80000;250,20000;980593,80751;902,00000;913,67625
47,60000;250,20000;980530,29473;1071,00000;995,18138
47,40000;250,20000;980522,43463;1066,00000;1099,14674
47,20000;250,20000;980453,34365;1195,00000;1150,21109
